Nazwa produktu,Producent,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,jednostki_magazynowe
TOPROCK SUPER,ROCKWOOL,1,M2,,,5000,1000,,100,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,4500,1000,,120,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,3500,1000,,150,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,2500,1000,,180,rolka,1,pełna paleta
TOPROCK SUPER,ROCKWOOL,1,M2,,,2500,1000,,200,rolka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,160,paczka,1,pełna paleta
SUPERROCK,ROCKWOOL,1,M2,,,1000,610,,200,paczka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,6000,1000,,100,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,4000,1000,,150,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,3500,1000,,180,rolka,1,pełna paleta
MEGAROCK PLUS,ROCKWOOL,1,M2,,,3000,1000,,200,rolka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,140,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,160,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,180,paczka,1,pełna paleta
ROCKMIN PLUS,ROCKWOOL,1,M2,,,1000,610,,200,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
UNIROCK,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
Wspornik nakrokwiowy,ROCKWOOL,1,szt,,,,180,,,,80,szt
Wspornik nakrokwiowy,ROCKWOOL,1,szt,,,,120,,,,80,szt
ROCKTECT Intello Climate Plus,ROCKWOOL,1,M2,,,5000,1500,,0.4,,,
ROCKTECT Twinline,ROCKWOOL,1,szt,,,25000,6,,,,,
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,75,paczka,1,pełna paleta
ROCKSONIC SUPER,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,40,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,50,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,60,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,70,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,80,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,100,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,120,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,140,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,150,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,180,paczka,1,pełna paleta
ROCKTON,ROCKWOOL,1,M2,,,1000,610,,200,paczka,1,pełna paleta
STEPROCK HD,ROCKWOOL,1,M2,,,1000,600,,20,paczka,1,pełna paleta
STEPROCK HD,ROCKWOOL,1,M2,,,1000,600,,30,paczka,1,pełna paleta
STEPROCK HD,ROCKWOOL,1,M2,,,1000,600,,40,paczka,1,pełna paleta
STEPROCK HD,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
STEPROCK HD,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
STEPROCK HD4F,ROCKWOOL,1,M2,,,1000,600,,30,paczka,1,pełna paleta
STEPROCK HD4F,ROCKWOOL,1,M2,,,1000,600,,40,paczka,1,pełna paleta
STEPROCK HD4F,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
FIREROCK,ROCKWOOL,1,M2,,,1000,600,,25,karton,1,pełna paleta
FIREROCK,ROCKWOOL,1,M2,,,1000,600,,30,karton,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,60,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,140,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,160,,,
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,180,,,
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,200,,,
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,220,,,
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,240,,,
FRONTROCK PLUS,ROCKWOOL,,M2,,,,,,250,,,
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,140,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,160,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,180,paczka,1,pełna paleta
FRONTROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,200,paczka,1,pełna paleta
FRONTROCK L,ROCKWOOL,1,M2,,,1200,200,,50,paczka,1,pełna paleta
FRONTROCK L,ROCKWOOL,1,M2,,,1200,200,,100,paczka,1,pełna paleta
FRONTROCK L,ROCKWOOL,1,M2,,,1200,200,,120,paczka,1,pełna paleta
FRONTROCK L,ROCKWOOL,1,M2,,,1200,200,,150,paczka,1,pełna paleta
FRONTROCK L,ROCKWOOL,1,M2,,,1200,200,,200,paczka,1,pełna paleta
FRONTROCK S,ROCKWOOL,1,M2,,,1000,600,,20,paczka,1,pełna paleta
FRONTROCK S,ROCKWOOL,1,M2,,,1000,600,,30,paczka,1,pełna paleta
FRONTROCK S,ROCKWOOL,1,M2,,,1000,600,,40,paczka,1,pełna paleta
FRONTROCK S,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,50,paleta,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,80,paleta,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,100,paleta,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,120,paleta,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,150,paleta,1,pełna paleta
FASROCK G,ROCKWOOL,1,M2,,,1000,200,,200,paleta,1,pełna paleta
Siatka osłonowa,ROCKWOOL,1,szt,,,7000,2600,,,,7,szt
Siatka osłonowa,ROCKWOOL,1,szt,,,14000,2600,,,,7,szt
Nóż do wełny,ROCKWOOL,1,szt,,,,,,,,10,szt
Ubranie robocze,ROCKWOOL,1,szt,,,,,,,,10,szt
Ubranie robocze,ROCKWOOL,1,szt,,,,,,,,10,szt
Ubranie robocze,ROCKWOOL,1,szt,,,,,,,,10,szt
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,60,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,160,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,180,paczka,1,pełna paleta
VENTIROCK PLUS,ROCKWOOL,1,M2,,,1000,600,,200,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,60,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,140,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,160,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,180,paczka,1,pełna paleta
VENTIROCK F PLUS,ROCKWOOL,1,M2,,,1000,600,,200,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,60,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,180,paczka,1,pełna paleta
WENTIROCK SUPER,ROCKWOOL,1,M2,,,1000,600,,200,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,50,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,60,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,80,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,100,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,120,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,150,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,160,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,180,paczka,1,pełna paleta
WENTIROCK F SUPER,ROCKWOOL,1,M2,,,1000,600,,200,paczka,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,50,paleta,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,120,paleta,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,130,paleta,1,pełna paleta
HARDROCK MAX,ROCKWOOL,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,50,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,160,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,200,paleta,1,pełna paleta
MONROCK MAX E,ROCKWOOL,1,M2,,,2000,1200,,240,paleta,1,pełna paleta
Paroizolacja ROCKFOL SK 18234 II,ROCKWOOL,1,M2,,,25000,1580,,,,,
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,70,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,130,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,190,paleta,1,pełna paleta
ROOFROCK 30 E,ROCKWOOL,1,M2,,,2000,1200,,200,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,15,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,18,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,18,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,22,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,22,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,22,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,28,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,28,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,28,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,35,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,35,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,35,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,35,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,42,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,42,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,42,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,42,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,48,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,48,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,48,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,48,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,48,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,54,,60,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,60,,60,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,60,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,64,,70,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,70,,70,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,70,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,76,,80,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,20,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,89,,100,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,25,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,30,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,40,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,50,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,80,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,108,,100,paleta,1,pełna paleta
Otuliny TECLIT PS,ROCKWOOL,1,M,,,,114,,25,paleta,1,pełna paleta
